datetime,power,global_radiation,temperature,Year,Month,Day,date
5/31/20 14:45,2.079,1042.59,24.75,2020,5,31,5/31/2020
7/3/20 12:45,2.079,965.97,26.60,2020,7,3,7/3/2020
6/1/19 12:30,2.078,1010.709,30.20,2019,6,1,6/1/2019
7/2/19 14:15,2.078,1038.349,28.80,2019,7,2,7/2/2019
7/8/19 13:45,2.078,1011.599,24.70,2019,7,8,7/8/2019
4/22/20 13:00,2.078,1038.813,23.00,2020,4,22,4/22/2020
5/27/20 12:15,2.078,1025.82,24.75,2020,5,27,5/27/2020
5/29/20 12:00,2.078,1046.067,24.95,2020,5,29,5/29/2020
6/1/20 12:30,2.078,1016.859,27.55,2020,6,1,6/1/2020
6/2/20 13:45,2.078,1044.595,30.95,2020,6,2,6/2/2020
5/19/20 13:00,2.077,785.39,28.85,2020,5,19,5/19/2020
5/30/20 13:00,2.077,1195.256,25.60,2020,5,30,5/30/2020
5/13/19 12:45,2.076,1041.399,17.30,2019,5,13,5/13/2019
4/19/20 14:00,2.076,1060.311,22.00,2020,4,19,4/19/2020
8/27/20 14:30,2.076,1027.88,27.10,2020,8,27,8/27/2020
5/18/20 13:30,2.075,1028.966,27.05,2020,5,18,5/18/2020
7/3/19 12:30,2.074,1009.138,26.55,2019,7,3,7/3/2019
7/3/19 14:15,2.074,1036.791,27.50,2019,7,3,7/3/2019
6/23/20 13:30,2.074,1034.01,30.25,2020,6,23,6/23/2020
6/24/20 14:00,2.074,1039.533,32.20,2020,6,24,6/24/2020
7/17/20 15:00,2.074,1050.738,29.00,2020,7,17,7/17/2020
7/10/19 13:30,2.073,1040.484,28.75,2019,7,10,7/10/2019
5/16/20 12:15,2.073,1006.762,21.70,2020,5,16,5/16/2020
6/8/20 11:30,2.073,979.769,21.90,2020,6,8,6/8/2020
6/23/20 12:45,2.073,1017.062,29.30,2020,6,23,6/23/2020
7/3/20 12:00,2.073,1020.367,25.70,2020,7,3,7/3/2020
7/10/19 12:45,2.072,1023.98,27.65,2019,7,10,7/10/2019
7/17/20 13:30,2.072,981.286,27.55,2020,7,17,7/17/2020
7/21/20 14:00,2.072,1038.183,28.90,2020,7,21,7/21/2020
7/2/19 13:00,2.071,1014.912,28.25,2019,7,2,7/2/2019
5/28/20 14:30,2.071,1036.396,25.55,2020,5,28,5/28/2020
5/16/19 13:00,2.07,971.649,19.55,2019,5,16,5/16/2019
7/10/19 12:30,2.07,1011.029,27.85,2019,7,10,7/10/2019
7/16/19 13:15,2.07,1033.907,25.60,2019,7,16,7/16/2019
7/17/19 12:45,2.07,1011.421,28.80,2019,7,17,7/17/2019
8/13/19 14:00,2.07,1036.85,25.00,2019,8,13,8/13/2019
4/25/20 12:45,2.07,1017.179,19.20,2020,4,25,4/25/2020
6/1/20 14:15,2.07,1037.94,29.55,2020,6,1,6/1/2020
6/22/20 14:15,2.07,1051.844,27.65,2020,6,22,6/22/2020
6/23/20 13:00,2.07,1030.657,29.60,2020,6,23,6/23/2020
6/23/20 13:15,2.07,1032.91,29.45,2020,6,23,6/23/2020
7/11/20 11:15,2.07,990.033,24.40,2020,7,11,7/11/2020
7/20/20 13:00,2.07,993.167,28.00,2020,7,20,7/20/2020
7/29/20 13:30,2.07,1007.037,28.55,2020,7,29,7/29/2020
7/5/19 14:00,2.069,1043.121,32.90,2019,7,5,7/5/2019
7/16/19 13:30,2.069,1030.33,25.80,2019,7,16,7/16/2019
6/24/20 12:45,2.069,1014.643,31.65,2020,6,24,6/24/2020
7/5/19 14:30,2.068,1028.428,32.50,2019,7,5,7/5/2019
7/20/19 13:00,2.068,1013.263,32.50,2019,7,20,7/20/2019
6/23/20 13:45,2.068,1034.01,30.10,2020,6,23,6/23/2020
7/21/20 14:15,2.068,1030.55,29.60,2020,7,21,7/21/2020
5/29/19 15:00,2.067,984.945,22.95,2019,5,29,5/29/2019
6/2/19 14:15,2.067,1037.744,34.75,2019,6,2,6/2/2019
5/20/20 12:15,2.067,984.758,28.60,2020,5,20,5/20/2020
7/3/20 11:45,2.067,1011.355,25.65,2020,7,3,7/3/2020
7/29/20 13:00,2.067,921.86,28.40,2020,7,29,7/29/2020
9/6/20 12:00,2.067,960.894,22.65,2020,9,6,9/6/2020
6/22/19 13:30,2.066,952.544,29.20,2019,6,22,6/22/2019
7/16/19 13:45,2.066,1030.19,26.30,2019,7,16,7/16/2019
7/22/19 12:45,2.066,995.979,32.55,2019,7,22,7/22/2019
5/16/20 14:15,2.066,1045.65,22.40,2020,5,16,5/16/2020
5/21/20 14:00,2.066,1045.946,30.70,2020,5,21,5/21/2020
5/27/20 14:15,2.066,1033.22,27.35,2020,5,27,5/27/2020
4/30/19 13:30,2.065,1029.12,21.40,2019,4,30,4/30/2019
7/9/19 12:15,2.065,1039.174,22.40,2019,7,9,7/9/2019
6/2/20 14:00,2.065,1035.254,31.40,2020,6,2,6/2/2020
5/15/19 14:45,2.064,1021.945,19.20,2019,5,15,5/15/2019
5/15/20 14:30,2.064,1049.338,21.00,2020,5,15,5/15/2020
4/22/20 13:45,2.063,1046.175,23.95,2020,4,22,4/22/2020
7/4/19 14:15,2.062,1032.127,28.85,2019,7,4,7/4/2019
8/13/19 12:30,2.062,1031.822,22.70,2019,8,13,8/13/2019
8/21/19 13:30,2.062,1001.343,27.30,2019,8,21,8/21/2019
5/17/20 12:00,2.062,984.509,20.80,2020,5,17,5/17/2020
5/15/20 12:00,2.061,984.305,18.80,2020,5,15,5/15/2020
7/29/20 13:15,2.061,921.86,27.80,2020,7,29,7/29/2020
7/29/20 13:45,2.061,1026.3,28.10,2020,7,29,7/29/2020
7/2/19 14:30,2.06,1035.418,28.80,2019,7,2,7/2/2019
4/27/20 13:30,2.06,1014.167,24.70,2020,4,27,4/27/2020
5/7/20 12:15,2.06,992.32,23.50,2020,5,7,5/7/2020
5/12/20 14:45,2.06,1035.363,19.05,2020,5,12,5/12/2020
7/21/20 12:30,2.06,1007.795,27.75,2020,7,21,7/21/2020
5/13/19 13:15,2.059,1048.622,17.75,2019,5,13,5/13/2019
7/22/20 13:15,2.059,1008.334,29.55,2020,7,22,7/22/2020
4/30/19 13:15,2.058,1038.394,20.30,2019,4,30,4/30/2019
5/10/19 13:00,2.058,1085.972,20.50,2019,5,10,5/10/2019
6/14/19 13:15,2.058,989.593,30.50,2019,6,14,6/14/2019
7/4/19 12:30,2.058,999.87,26.65,2019,7,4,7/4/2019
7/16/19 13:00,2.058,1025.131,25.15,2019,7,16,7/16/2019
4/22/20 12:45,2.058,1031.403,22.95,2020,4,22,4/22/2020
4/25/20 14:00,2.058,1037.557,20.45,2020,4,25,4/25/2020
4/26/20 13:00,2.058,1036.32,24.25,2020,4,26,4/26/2020
6/25/20 12:30,2.058,989.002,31.70,2020,6,25,6/25/2020
9/4/20 13:45,2.058,987.637,31.80,2020,9,4,9/4/2020
6/5/19 13:30,2.057,1030.063,32.15,2019,6,5,6/5/2019
5/27/20 13:00,2.057,1016.286,25.85,2020,5,27,5/27/2020
